City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Linxia,CN,35.6003,103.2064,56.82,51,88,0.96,overcast clouds
80,Davidson,US,36.1501,-86.7833,77.76,60,7,7.61,clear sky
81,Warrington,GB,53.3925,-2.5802,45.86,78,75,9.22,broken clouds
82,Ban Tak,TH,17.0432,99.0813,86.27,55,33,5.08,scattered clouds
83,Pangnirtung,CA,66.1451,-65.7125,21.38,88,100,5.01,overcast clouds
84,Cap Malheureux,MU,-19.9842,57.6142,75.47,70,88,8.99,overcast clouds
85,Kiunga,PG,-6.1219,141.2906,87.46,60,74,2.08,broken clouds
86,Kruisfontein,ZA,-34.0033,24.7314,52.88,78,100,5.95,overcast clouds
87,Sabang,ID,5.8933,95.3214,83.25,75,100,4.79,overcast clouds
88,Inhambane,MZ,-23.865,35.3833,74.3,87,0,4.05,clear sky
89,Emerald,AU,-23.5333,148.1667,69.94,68,100,20.71,light rain
90,Zemetchino,RU,53.4973,42.6163,49.95,86,100,8.95,light rain
91,Mount Gambier,AU,-37.8333,140.7667,57.11,82,100,4.61,overcast clouds
92,Pundaguitan,PH,6.3711,126.1689,82.36,77,73,9.15,broken clouds
93,Lebu,CL,-37.6167,-73.65,51.39,77,7,6.11,clear sky
94,Pevek,RU,69.7008,170.3133,13.21,89,86,1.39,overcast clouds
95,Hamilton,US,39.1834,-84.5333,77.63,54,92,1.01,overcast clouds
96,Gat,IL,31.61,34.7642,72.39,100,72,1.83,broken clouds
97,Ucluelet,CA,48.9329,-125.5528,48.51,92,100,1.99,overcast clouds
98,Hay River,CA,60.8156,-115.7999,44.58,42,20,14.97,few clouds
99,Asfi,MA,32.2994,-9.2372,58.68,76,0,8.34,clear sky
100,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,18.41,scattered clouds
101,Hearst,CA,49.6835,-83.6665,61.05,95,100,10.65,overcast clouds
102,Bud,US,39.447,-86.1758,73.81,64,100,12.91,overcast clouds
103,Biak,ID,-0.9131,122.8766,83.46,68,4,0.49,clear sky
104,Xuddur,SO,4.1213,43.8894,73.99,83,38,9.4,scattered clouds
105,Mangochi,MW,-14.4782,35.2645,68.65,94,27,5.14,scattered clouds
106,Bluff,NZ,-46.6,168.3333,54.81,80,91,29.24,overcast clouds
107,Cape Town,ZA,-33.9258,18.4232,57.9,80,75,7.0,broken clouds
108,Saint-Philippe,RE,-21.3585,55.7679,74.79,77,84,12.86,light rain
109,Togur,RU,58.3631,82.8265,31.55,78,100,5.35,overcast clouds
110,Buraydah,SA,26.326,43.975,66.65,64,21,13.8,few clouds
111,Axim,GH,4.8699,-2.2405,76.01,84,100,5.86,overcast clouds
112,Tabou,CI,4.423,-7.3528,80.19,86,100,3.27,light rain
113,Tasiilaq,GL,65.6145,-37.6368,25.48,68,17,3.24,few clouds
114,Quatre Cocos,MU,-20.2078,57.7625,75.31,72,27,16.37,scattered clouds
115,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,53,0,25.32,clear sky
116,Sinnamary,GF,5.3833,-52.95,78.13,89,77,9.33,broken clouds
117,Qaanaaq,GL,77.484,-69.3632,0.66,67,49,6.82,scattered clouds
118,Avera,US,33.194,-82.5271,72.91,66,84,5.97,broken clouds
119,Huarmey,PE,-10.0681,-78.1522,68.63,85,74,7.94,broken clouds
120,Urucui,BR,-7.2294,-44.5561,75.74,81,16,0.76,few clouds
121,Sidi Ali,DZ,36.0998,0.4206,55.96,70,100,1.77,overcast clouds
122,San Patricio,US,28.017,-97.5169,80.83,86,9,16.06,clear sky
123,Mount Isa,AU,-20.7333,139.5,69.57,100,100,5.75,drizzle
124,Kaniama,CD,-7.5667,24.1833,66.47,97,30,1.99,scattered clouds
125,Hermanus,ZA,-34.4187,19.2345,58.78,72,96,3.56,overcast clouds
126,Cockburn Town,TC,21.4612,-71.1419,76.96,69,75,13.8,broken clouds
127,New Norfolk,AU,-42.7826,147.0587,57.92,81,100,1.68,overcast clouds
128,South Shields,GB,54.9986,-1.4323,44.96,82,40,4.61,scattered clouds
129,Krasnyy Yar,RU,46.5331,48.3456,46.33,77,13,5.61,few clouds
130,Kapaa,US,22.0752,-159.319,82.38,78,22,7.0,few clouds
131,Clarence Town,AU,-32.5833,151.7833,68.86,63,100,2.91,overcast clouds
132,Bandarbeyla,SO,9.4942,50.8122,81.23,73,66,7.07,broken clouds
133,Barrow,US,71.2906,-156.7887,20.1,86,100,10.11,overcast clouds
134,Olinda,BR,-8.0089,-34.8553,82.13,74,75,9.22,broken clouds
135,Castro,BR,-24.7911,-50.0119,59.74,94,2,5.21,clear sky
136,Berlevag,NO,70.8578,29.0864,33.6,80,100,6.51,overcast clouds
137,Kastrakion,GR,39.7156,21.6181,56.26,77,6,4.65,clear sky
138,Lompoc,US,34.6391,-120.4579,78.78,75,0,18.99,clear sky
139,East Stroudsburg,US,40.9995,-75.1813,56.12,62,8,3.38,clear sky
140,Upernavik,GL,72.7868,-56.1549,0.05,94,40,6.93,scattered clouds
141,Warrnambool,AU,-38.3833,142.4833,61.81,62,14,5.86,few clouds
142,Manavadar,IN,21.5,70.1333,78.31,59,0,4.52,clear sky
143,Tiksi,RU,71.6872,128.8694,4.71,95,93,3.53,overcast clouds
144,Charters Towers,AU,-20.1,146.2667,73.71,79,100,16.4,overcast clouds
145,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,81,38,11.41,scattered clouds
146,Saanen,CH,46.4896,7.2596,46.33,100,100,3.4,overcast clouds
147,Shingu,JP,33.7333,135.9833,71.24,76,64,3.98,broken clouds
148,Nieuwerkerken,BE,50.8652,5.1917,49.05,83,75,8.05,broken clouds
149,Nardaran,AZ,40.5561,50.0056,55.04,82,0,4.61,clear sky
150,Victoria,HK,22.2855,114.1577,82.45,82,8,8.01,clear sky
151,Wad Rawah,SD,15.1603,33.1397,85.71,7,42,9.42,scattered clouds
152,Atambua,ID,-9.1061,124.8925,81.46,52,87,1.12,overcast clouds
153,Salalah,OM,17.0151,54.0924,79.7,77,29,5.28,scattered clouds
154,Hambantota,LK,6.1241,81.1185,75.54,100,75,3.44,broken clouds
155,Pelym,RU,61.0108,61.9978,29.68,97,100,2.64,overcast clouds
156,Dukat,RU,62.55,155.55,22.73,88,100,5.46,light snow
157,Kaitangata,NZ,-46.2817,169.8464,58.05,67,43,18.59,scattered clouds
158,Broome,US,42.2506,-75.833,72.37,89,88,6.78,overcast clouds
159,Turan,VN,16.0678,108.2208,82.38,74,20,5.75,few clouds
160,Maceio,BR,-9.6658,-35.7353,78.24,83,75,3.44,broken clouds
161,La Ronge,CA,55.1001,-105.2842,32.45,74,100,8.14,overcast clouds
162,King City,US,36.2127,-121.126,80.44,29,0,12.39,clear sky
163,Salvador,SV,13.8333,-88.9167,73.8,83,15,1.68,few clouds
164,Narsaq,GL,60.9167,-46.05,41.22,89,100,2.68,overcast clouds
165,Nome,US,64.5011,-165.4064,37.47,87,100,4.61,overcast clouds
166,Ketchikan,US,55.3422,-131.6461,42.19,95,100,4.79,light rain
167,Alice,US,27.7523,-98.0697,80.33,75,2,19.53,clear sky
168,Chokurdakh,RU,70.6333,147.9167,8.49,91,25,3.89,scattered clouds
169,Saint-Pierre,RE,-21.3393,55.4781,74.88,72,75,17.27,broken clouds
170,San Vicente,AR,-26.6167,-54.1333,68.63,86,0,5.03,clear sky
171,Khatanga,RU,71.9667,102.5,0.79,95,88,5.79,overcast clouds
172,Sisimiut,GL,66.9395,-53.6735,24.08,92,72,1.63,broken clouds
173,Dordrecht,NL,51.81,4.6736,47.98,78,0,1.99,clear sky
